SiraNo;KavsakAdi;AkimYonu;Tarih;SaatAraligi;Otomobil;Kamyonet;Taksi;TMinibus;Servis;IETT-Halk;AgirTasit;Toplam;KayitTarihSaat;SayimYapanKisi;Kontrol
3;Sultangazi-40028-Akþam;6->1;5.5.2017;17:30-17:45;0;0;0;0;0;0;0;0;11.5.2017 10:17;Selman;4219614
4;Sultangazi-40028-Akþam;6->1;5.5.2017;17:45-18:00;0;1;0;0;0;0;0;1;11.5.2017 10:29;Selman;3951702
5;Sultangazi-40028-Akþam;6->1;5.5.2017;18:00-18:15;1;0;0;0;0;0;0;1;11.5.2017 10:35;Selman;401868
6;Sultangazi-40028-Akþam;6->1;5.5.2017;18:15-18:30;0;0;0;0;0;0;0;0;11.5.2017 10:53;Selman;6295932
7;Sultangazi-40028-Akþam;6->1;5.5.2017;18:30-18:45;0;0;0;0;0;0;0;0;11.5.2017 11:17;Selman;1875384
8;Sultangazi-40028-Akþam;6->1;5.5.2017;18:45-19:00;0;0;0;0;0;0;0;0;11.5.2017 11:32;Selman;5827086
9;Sultangazi-40028-Akþam;5->2;5.5.2017;17:00-17:15;10;1;0;0;0;0;0;11;11.5.2017 12:56;Selman;6161976
10;Sultangazi-40028-Akþam;5->2;5.5.2017;17:15-17:30;3;2;0;0;1;0;1;7;11.5.2017 13:15;Selman;5827086
11;Sultangazi-40028-Akþam;5->2;5.5.2017;17:30-17:45;8;2;0;0;0;0;0;10;11.5.2017 13:20;Selman;267912
12;Sultangazi-40028-Akþam;5->2;5.5.2017;17:45-18:00;2;2;1;0;1;0;0;6;11.5.2017 13:24;Selman;2813076
13;Sultangazi-40028-Akþam;5->2;5.5.2017;18:00-18:15;9;1;0;0;1;0;0;11;11.5.2017 13:33;Selman;6563844
14;Sultangazi-40028-Akþam;5->2;5.5.2017;18:15-18:30;5;1;2;0;0;0;0;8;11.5.2017 13:37;Selman;6429888
15;Sultangazi-40028-Akþam;5->2;5.5.2017;18:30-18:45;5;1;0;0;0;0;0;6;11.5.2017 13:51;Selman;5559174
16;Sultangazi-40028-Akþam;5->2;5.5.2017;18:45-19:00;9;1;0;0;2;0;0;12;11.5.2017 14:02;Selman;1272582
17;Sultangazi-40028-Akþam;5->1;5.5.2017;17:00-17:15;4;1;0;0;0;0;0;5;11.5.2017 14:21;Selman;2545164
18;Sultangazi-40028-Akþam;5->1;5.5.2017;17:15-17:30;3;0;0;0;0;0;0;3;11.5.2017 14:42;Selman;6563844
19;Sultangazi-40028-Akþam;5->1;5.5.2017;17:30-17:45;6;3;0;0;0;0;0;9;11.5.2017 14:56;Selman;736758
20;Sultangazi-40028-Akþam;5->1;5.5.2017;17:45-18:00;2;3;0;0;0;0;1;6;11.5.2017 15:05;Selman;2880054
21;Sultangazi-40028-Akþam;5->1;5.5.2017;18:00-18:15;3;1;1;0;0;0;0;5;11.5.2017 15:25;Selman;636291
22;Sultangazi-40028-Akþam;5->1;5.5.2017;18:15-18:30;3;2;0;0;1;0;0;6;11.5.2017 15:34;Selman;4420548
23;Sultangazi-40028-Akþam;5->1;5.5.2017;18:30-18:45;5;1;0;0;0;0;1;7;11.5.2017 15:45;Selman;4487526
24;Sultangazi-40028-Akþam;5->1;5.5.2017;18:45-19:00;1;0;0;0;0;0;0;1;11.5.2017 16:18;Selman;5559174
26;Sultangazi-40028-Akþam;4->5;5.5.2017;17:00-17:15;0;1;0;0;0;0;0;1;12.5.2017 09:14;Selman;4286592
27;Sultangazi-40028-Akþam;4->5;5.5.2017;17:15-17:30;0;0;0;0;0;0;0;0;12.5.2017 09:24;Selman;5626152
28;Sultangazi-40028-Akþam;4->5;5.5.2017;17:30-17:45;2;0;0;0;0;0;0;2;12.5.2017 09:33;Selman;4956372
29;Sultangazi-40028-Akþam;4->5;5.5.2017;17:45-18:00;0;0;0;0;0;0;0;0;12.5.2017 10:06;Selman;3147966
30;Sultangazi-40028-Akþam;4->5;5.5.2017;18:00-18:15;2;0;0;0;0;0;0;2;12.5.2017 10:15;Selman;2545164
31;Sultangazi-40028-Akþam;4->5;5.5.2017;18:15-18:30;2;0;0;0;0;0;0;2;12.5.2017 10:38;Selman;4420548
32;Sultangazi-40028-Akþam;4->5;5.5.2017;18:30-18:45;2;0;0;0;0;0;0;2;12.5.2017 11:34;Selman;4956372
33;Sultangazi-40028-Akþam;4->5;5.5.2017;18:45-19:00;0;0;0;0;0;0;0;0;12.5.2017 11:38;Selman;4219614
34;Sultangazi-40028-Akþam;4->2;5.5.2017;17:00-17:15;26;3;3;7;7;4;0;50;12.5.2017 11:50;Selman;6161976
35;Sultangazi-40028-Akþam;4->2;5.5.2017;17:15-17:30;24;5;2;8;6;5;1;51;12.5.2017 11:58;Selman;7434558
36;Sultangazi-40028-Akþam;4->2;5.5.2017;17:30-17:45;20;4;7;9;10;6;1;57;12.5.2017 14:06;Selman;167445
37;Sultangazi-40028-Akþam;4->2;5.5.2017;17:45-18:00;47;6;4;7;8;4;0;76;12.5.2017 14:09;Selman;4889394
38;Sultangazi-40028-Akþam;4->2;5.5.2017;18:00-18:15;22;10;2;8;9;7;0;58;12.5.2017 14:13;Selman;435357
39;Sultangazi-40028-Akþam;4->2;5.5.2017;18:15-18:30;38;6;5;10;11;9;0;79;12.5.2017 14:31;Selman;4286592
40;Sultangazi-40028-Akþam;4->2;5.5.2017;18:30-18:45;53;19;6;6;11;8;1;104;12.5.2017 14:37;Selman;4822416
41;Sultangazi-40028-Akþam;4->2;5.5.2017;18:45-19:00;39;14;3;9;9;5;0;79;12.5.2017 14:42;Selman;4286592
42;Sultangazi-40028-Akþam;4->3;5.5.2017;17:00-17:15;16;7;2;0;2;0;0;27;12.5.2017 14:56;Selman;6764778
43;Sultangazi-40028-Akþam;4->3;5.5.2017;17:15-17:30;15;10;1;0;5;0;1;32;12.5.2017 15:01;Selman;3549834
44;Sultangazi-40028-Akþam;4->3;5.5.2017;17:30-17:45;27;11;2;0;4;1;0;45;12.5.2017 15:17;Selman;3549834
45;Sultangazi-40028-Akþam;4->3;5.5.2017;17:45-18:00;19;6;0;0;3;0;0;28;12.5.2017 15:54;Selman;468846
46;Sultangazi-40028-Akþam;4->3;5.5.2017;18:00-18:15;20;8;2;0;3;1;0;34;12.5.2017 16:00;Selman;3884724
47;Sultangazi-40028-Akþam;4->3;5.5.2017;18:15-18:30;26;9;1;0;4;0;0;40;12.5.2017 16:05;Selman;2880054
48;Sultangazi-40028-Akþam;4->3;5.5.2017;18:30-18:45;17;7;0;0;5;0;0;29;12.5.2017 16:13;Selman;3817746
49;Sultangazi-40028-Akþam;4->3;5.5.2017;18:45-19:00;34;7;2;0;7;0;0;50;12.5.2017 16:17;Selman;3080988
50;Sultangazi-40028-Akþam;4->6;5.5.2017;17:00-17:15;2;0;0;0;0;0;0;2;12.5.2017 16:32;Selman;3884724
51;Sultangazi-40028-Akþam;4->6;5.5.2017;17:15-17:30;3;0;0;0;0;0;0;3;12.5.2017 16:41;Selman;7434558
52;Sultangazi-40028-Akþam;4->6;5.5.2017;17:30-17:45;0;0;0;0;0;0;0;0;12.5.2017 16:45;Selman;6764778
53;Sultangazi-40028-Akþam;4->6;5.5.2017;17:45-18:00;0;1;0;0;0;0;0;1;12.5.2017 16:51;Selman;5827086
54;Sultangazi-40028-Akþam;4->6;5.5.2017;18:00-18:15;5;0;0;0;0;0;0;5;12.5.2017 16:55;Selman;5157306
55;Sultangazi-40028-Akþam;4->6;5.5.2017;18:15-18:30;3;0;0;0;0;0;0;3;12.5.2017 16:58;Selman;8305272
56;Sultangazi-40028-Akþam;4->6;5.5.2017;18:30-18:45;1;0;0;0;0;0;0;1;12.5.2017 16:59;Selman;7300602
57;Sultangazi-40028-Akþam;4->6;5.5.2017;18:45-19:00;1;0;0;0;0;0;0;1;12.5.2017 17:01;Selman;133956
1;Sultangazi-40028-Akþam;6->2;5.5.2017;17:00-17:15;0;0;0;0;1;0;0;1;11.5.2017 09:52;Selman;5559174
2;Sultangazi-40028-Akþam;6->2;5.5.2017;17:15-17:30;0;0;0;0;0;0;0;0;11.5.2017 10:07;Selman;2411208
3;Sultangazi-40028-Akþam;6->2;5.5.2017;17:30-17:45;1;0;0;0;0;0;0;1;11.5.2017 10:17;Selman;3750768
4;Sultangazi-40028-Akþam;6->2;5.5.2017;17:45-18:00;0;0;0;0;0;0;0;0;11.5.2017 10:29;Selman;4085658
5;Sultangazi-40028-Akþam;6->2;5.5.2017;18:00-18:15;0;0;0;0;0;0;0;0;11.5.2017 10:35;Selman;4152636
6;Sultangazi-40028-Akþam;6->2;5.5.2017;18:15-18:30;2;0;0;0;0;0;0;2;11.5.2017 10:53;Selman;6429888
7;Sultangazi-40028-Akþam;6->2;5.5.2017;18:30-18:45;2;0;0;0;0;0;0;2;11.5.2017 11:17;Selman;2076318
8;Sultangazi-40028-Akþam;6->2;5.5.2017;18:45-19:00;1;0;0;0;0;0;0;1;11.5.2017 11:32;Selman;5961042
9;Sultangazi-40028-Akþam;6->3;5.5.2017;17:00-17:15;3;0;0;0;0;0;0;3;11.5.2017 11:34;Selman;4621482
10;Sultangazi-40028-Akþam;6->3;5.5.2017;17:15-17:30;3;0;0;0;0;0;0;3;11.5.2017 11:34;Selman;4889394
11;Sultangazi-40028-Akþam;6->3;5.5.2017;17:30-17:45;2;0;0;0;0;0;0;2;11.5.2017 11:34;Selman;5157306
12;Sultangazi-40028-Akþam;6->3;5.5.2017;17:45-18:00;0;0;0;0;0;0;0;0;11.5.2017 11:34;Selman;5425218
13;Sultangazi-40028-Akþam;6->3;5.5.2017;18:00-18:15;2;0;0;0;1;0;0;3;11.5.2017 11:34;Selman;5760108
14;Sultangazi-40028-Akþam;6->3;5.5.2017;18:15-18:30;1;0;1;0;0;0;0;2;11.5.2017 11:34;Selman;6228954
15;Sultangazi-40028-Akþam;6->3;5.5.2017;18:30-18:45;0;0;0;0;0;0;0;0;11.5.2017 11:34;Selman;6429888
16;Sultangazi-40028-Akþam;6->3;5.5.2017;18:45-19:00;0;0;0;0;1;0;0;1;11.5.2017 11:34;Selman;669,78
17;Sultangazi-40028-Akþam;6->4;5.5.2017;17:00-17:15;1;0;0;0;0;0;0;1;11.5.2017 11:35;Selman;3281922
18;Sultangazi-40028-Akþam;6->4;5.5.2017;17:15-17:30;0;0;0;0;0;0;0;0;11.5.2017 11:35;Selman;3415878
19;Sultangazi-40028-Akþam;6->4;5.5.2017;17:30-17:45;0;0;0;0;0;0;0;0;11.5.2017 11:35;Selman;3750768
20;Sultangazi-40028-Akþam;6->4;5.5.2017;17:45-18:00;0;0;0;0;0;0;0;0;11.5.2017 11:35;Selman;3884724
21;Sultangazi-40028-Akþam;6->4;5.5.2017;18:00-18:15;1;0;0;0;0;0;0;1;11.5.2017 11:35;Selman;4085658
22;Sultangazi-40028-Akþam;6->4;5.5.2017;18:15-18:30;0;0;0;0;0;0;0;0;11.5.2017 11:35;Selman;4085658
23;Sultangazi-40028-Akþam;6->4;5.5.2017;18:30-18:45;0;0;0;0;0;0;0;0;11.5.2017 11:35;Selman;4152636
24;Sultangazi-40028-Akþam;6->4;5.5.2017;18:45-19:00;0;0;0;0;0;0;0;0;11.5.2017 11:35;Selman;435357
25;Sultangazi-40028-Akþam;6->5;5.5.2017;17:00-17:15;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;6429888
26;Sultangazi-40028-Akþam;6->5;5.5.2017;17:15-17:30;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;6496866
27;Sultangazi-40028-Akþam;6->5;5.5.2017;17:30-17:45;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;6496866
28;Sultangazi-40028-Akþam;6->5;5.5.2017;17:45-18:00;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;6563844
29;Sultangazi-40028-Akþam;6->5;5.5.2017;18:00-18:15;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;6630822
30;Sultangazi-40028-Akþam;6->5;5.5.2017;18:15-18:30;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;6630822
31;Sultangazi-40028-Akþam;6->5;5.5.2017;18:30-18:45;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;669,78
32;Sultangazi-40028-Akþam;6->5;5.5.2017;18:45-19:00;0;0;0;0;0;0;0;0;11.5.2017 11:36;Selman;6764778
33;Sultangazi-40028-Akþam;5->3;5.5.2017;17:00-17:15;3;3;0;0;0;0;0;6;11.5.2017 12:56;Selman;6429888
34;Sultangazi-40028-Akþam;5->3;5.5.2017;17:15-17:30;6;0;0;0;0;0;0;6;11.5.2017 13:16;Selman;200934
35;Sultangazi-40028-Akþam;5->3;5.5.2017;17:30-17:45;4;1;0;0;1;0;0;6;11.5.2017 13:20;Selman;2813076
36;Sultangazi-40028-Akþam;5->3;5.5.2017;17:45-18:00;3;2;0;0;0;0;0;5;11.5.2017 13:24;Selman;301401
37;Sultangazi-40028-Akþam;5->3;5.5.2017;18:00-18:15;3;0;0;0;0;0;0;3;11.5.2017 13:33;Selman;669,78
38;Sultangazi-40028-Akþam;5->3;5.5.2017;18:15-18:30;13;2;1;0;1;0;0;17;11.5.2017 13:37;Selman;6563844
39;Sultangazi-40028-Akþam;5->3;5.5.2017;18:30-18:45;9;1;0;0;0;0;0;10;11.5.2017 13:51;Selman;569313
40;Sultangazi-40028-Akþam;5->3;5.5.2017;18:45-19:00;4;3;0;0;2;0;0;9;11.5.2017 14:02;Selman;1473516
41;Sultangazi-40028-Akþam;5->4;5.5.2017;17:00-17:15;1;0;0;0;0;0;0;1;11.5.2017 14:21;Selman;267912
42;Sultangazi-40028-Akþam;5->4;5.5.2017;17:15-17:30;0;0;0;0;0;0;0;0;11.5.2017 14:42;Selman;6965712
43;Sultangazi-40028-Akþam;5->4;5.5.2017;17:30-17:45;2;0;0;0;1;0;0;3;11.5.2017 14:56;Selman;7501536
44;Sultangazi-40028-Akþam;5->4;5.5.2017;17:45-18:00;0;0;0;0;0;0;0;0;11.5.2017 15:05;Selman;301401
45;Sultangazi-40028-Akþam;5->4;5.5.2017;18:00-18:15;0;0;0;0;0;0;0;0;11.5.2017 15:25;Selman;6563844
46;Sultangazi-40028-Akþam;5->4;5.5.2017;18:15-18:30;0;1;0;0;0;0;0;1;11.5.2017 15:34;Selman;4554504
47;Sultangazi-40028-Akþam;5->4;5.5.2017;18:30-18:45;1;0;0;0;0;0;0;1;11.5.2017 15:45;Selman;4621482
48;Sultangazi-40028-Akþam;5->4;5.5.2017;18:45-19:00;0;0;0;0;0;0;0;0;11.5.2017 16:18;Selman;5827086
49;Sultangazi-40028-Akþam;5->6;5.5.2017;17:00-17:15;0;1;0;0;0;0;0;1;11.5.2017 16:20;Selman;2478186
50;Sultangazi-40028-Akþam;5->6;5.5.2017;17:15-17:30;1;0;0;0;0;0;0;1;11.5.2017 16:20;Selman;5425218
51;Sultangazi-40028-Akþam;5->6;5.5.2017;17:30-17:45;0;0;0;0;0;0;0;0;11.5.2017 16:20;Selman;5760108
52;Sultangazi-40028-Akþam;5->6;5.5.2017;17:45-18:00;0;0;0;0;0;0;0;0;11.5.2017 16:20;Selman;5894064
53;Sultangazi-40028-Akþam;5->6;5.5.2017;18:00-18:15;1;0;0;0;0;0;0;0;11.5.2017 16:20;Selman;6161976
54;Sultangazi-40028-Akþam;5->6;5.5.2017;18:15-18:30;1;0;0;0;0;0;0;1;11.5.2017 16:21;Selman;4755438
55;Sultangazi-40028-Akþam;5->6;5.5.2017;18:30-18:45;1;0;0;0;0;0;0;1;11.5.2017 16:21;Selman;4889394
56;Sultangazi-40028-Akþam;5->6;5.5.2017;18:45-19:00;0;0;0;0;0;0;0;0;11.5.2017 16:21;Selman;502335
125;Sultangazi-40028-Akþam;4->1;5.5.2017;17:00-17:15;12;3;1;0;0;0;0;16;12.5.2017 17:18;Selman;468846
126;Sultangazi-40028-Akþam;4->1;5.5.2017;17:15-17:30;26;6;2;0;1;0;1;36;12.5.2017 17:23;Selman;334,89
127;Sultangazi-40028-Akþam;4->1;5.5.2017;17:30-17:45;14;5;0;0;1;0;0;20;12.5.2017 19:36;Selman;5894064
128;Sultangazi-40028-Akþam;4->1;5.5.2017;17:45-18:00;28;12;1;0;1;0;1;43;12.5.2017 19:40;Selman;6295932
129;Sultangazi-40028-Akþam;4->1;5.5.2017;18:00-18:15;18;4;3;0;3;0;0;28;12.5.2017 19:47;Selman;7970382
130;Sultangazi-40028-Akþam;4->1;5.5.2017;18:15-18:30;23;6;4;0;1;0;0;34;12.5.2017 19:58;Selman;6965712
131;Sultangazi-40028-Akþam;4->1;5.5.2017;18:30-18:45;32;8;1;0;1;0;1;43;12.5.2017 20:02;Selman;267912
132;Sultangazi-40028-Akþam;4->1;5.5.2017;18:45-19:00;27;11;2;0;9;0;0;49;12.5.2017 20:05;Selman;5559174
133;Sultangazi-40028-Akþam;4->4;5.5.2017;17:00-17:15;5;1;0;0;1;0;0;7;12.5.2017 20:06;Selman;301401
134;Sultangazi-40028-Akþam;4->4;5.5.2017;17:15-17:30;3;1;0;0;0;0;0;4;12.5.2017 20:06;Selman;334,89
135;Sultangazi-40028-Akþam;4->4;5.5.2017;17:30-17:45;5;2;0;0;1;0;0;8;12.5.2017 20:06;Selman;3817746
136;Sultangazi-40028-Akþam;4->4;5.5.2017;17:45-18:00;2;1;0;0;0;0;0;3;12.5.2017 20:06;Selman;5492196
137;Sultangazi-40028-Akþam;4->4;5.5.2017;18:00-18:15;3;1;0;0;1;0;0;5;12.5.2017 20:07;Selman;2277252
138;Sultangazi-40028-Akþam;4->4;5.5.2017;18:15-18:30;6;3;0;0;2;0;0;11;12.5.2017 20:07;Selman;2947032
139;Sultangazi-40028-Akþam;4->4;5.5.2017;18:30-18:45;5;2;1;0;1;1;1;11;12.5.2017 20:07;Selman;401868
140;Sultangazi-40028-Akþam;4->4;5.5.2017;18:45-19:00;4;2;0;0;2;0;0;8;12.5.2017 20:07;Selman;435357
1;Sultangazi-40028;1->2;5.5.2017;17:00-17:15;56;12;7;0;11;0;3;89;11.5.2017 11:39;Hüseyin BAÞKAN;5827086
2;Sultangazi-40028;1->2;5.5.2017;17:15-17:30;80;20;8;0;19;0;1;128;11.5.2017 11:47;Hüseyin BAÞKAN;6094998
3;Sultangazi-40028;1->2;5.5.2017;17:30-17:45;71;21;17;0;17;0;4;130;11.5.2017 11:55;Hüseyin BAÞKAN;569313
4;Sultangazi-40028;1->2;5.5.2017;17:45-18:00;92;23;13;0;10;0;1;139;11.5.2017 12:03;Hüseyin BAÞKAN;200934
5;Sultangazi-40028;1->2;5.5.2017;18:00-18:15;107;31;6;0;18;0;1;163;11.5.2017 13:39;Hüseyin BAÞKAN;5224284
6;Sultangazi-40028;1->2;5.5.2017;18:15-18:30;111;26;15;0;15;0;1;168;11.5.2017 13:47;Hüseyin BAÞKAN;5090328
7;Sultangazi-40028;1->2;5.5.2017;18:30-18:45;116;32;8;0;15;0;1;172;11.5.2017 13:56;Hüseyin BAÞKAN;7501536
8;Sultangazi-40028;1->2;5.5.2017;18:45-19:00;121;37;10;0;20;0;0;188;11.5.2017 14:04;Hüseyin BAÞKAN;2411208
9;Sultangazi-40028;1->4;5.5.2017;17:00-17:15;18;10;0;0;0;0;2;30;11.5.2017 14:26;Hüseyin BAÞKAN;5559174
10;Sultangazi-40028;1->4;5.5.2017;17:15-17:30;19;4;1;0;4;0;0;28;11.5.2017 14:35;Hüseyin BAÞKAN;334,89
11;Sultangazi-40028;1->4;5.5.2017;17:30-17:45;20;14;1;0;1;0;0;36;11.5.2017 14:45;Hüseyin BAÞKAN;435357
12;Sultangazi-40028;1->4;5.5.2017;17:45-18:00;9;2;2;0;0;0;1;14;11.5.2017 14:53;Hüseyin BAÞKAN;6228954
13;Sultangazi-40028;1->4;5.5.2017;18:00-18:15;18;7;0;0;0;0;0;25;11.5.2017 15:01;Hüseyin BAÞKAN;1272582
14;Sultangazi-40028;1->4;5.5.2017;18:15-18:30;20;4;4;0;0;0;1;29;11.5.2017 15:44;Hüseyin BAÞKAN;669,78
15;Sultangazi-40028;1->4;5.5.2017;18:30-18:45;22;2;1;0;3;0;0;28;11.5.2017 15:54;Hüseyin BAÞKAN;8104338
16;Sultangazi-40028;1->4;5.5.2017;18:45-19:00;32;4;1;0;1;0;1;39;11.5.2017 16:02;Hüseyin BAÞKAN;301401
17;Sultangazi-40028;1->3;5.5.2017;17:00-17:15;22;12;4;0;3;0;0;41;11.5.2017 16:22;Hüseyin BAÞKAN;6295932
18;Sultangazi-40028;1->3;5.5.2017;17:15-17:30;32;18;2;0;8;0;3;63;11.5.2017 16:30;Hüseyin BAÞKAN;5760108
19;Sultangazi-40028;1->3;5.5.2017;17:30-17:45;45;22;3;0;5;0;0;75;11.5.2017 16:49;Hüseyin BAÞKAN;5492196
20;Sultangazi-40028;1->3;5.5.2017;17:45-18:00;47;12;3;0;6;0;0;68;11.5.2017 17:10;Hüseyin BAÞKAN;2411208
21;Sultangazi-40028;1->3;5.5.2017;18:00-18:15;48;14;7;0;10;0;0;79;11.5.2017 17:31;Hüseyin BAÞKAN;4286592
22;Sultangazi-40028;1->3;5.5.2017;18:15-18:30;62;15;4;0;5;0;0;86;11.5.2017 17:38;Hüseyin BAÞKAN;7099668
23;Sultangazi-40028;1->3;5.5.2017;18:30-18:45;38;12;4;0;8;0;0;62;12.5.2017 10:19;Hüseyin BAÞKAN;3884724
24;Sultangazi-40028;1->3;5.5.2017;18:45-19:00;61;10;5;0;11;0;0;87;12.5.2017 10:27;Hüseyin BAÞKAN;267912
25;Sultangazi-40028;1->5;5.5.2017;17:00-17:15;0;0;0;0;0;0;0;0;12.5.2017 10:45;Hüseyin BAÞKAN;435357
26;Sultangazi-40028;1->5;5.5.2017;17:15-17:30;0;0;0;0;0;0;0;0;12.5.2017 10:50;Hüseyin BAÞKAN;6295932
27;Sultangazi-40028;1->5;5.5.2017;17:30-17:45;1;0;0;0;0;0;0;1;12.5.2017 10:54;Hüseyin BAÞKAN;5425218
28;Sultangazi-40028;1->5;5.5.2017;17:45-18:00;2;0;0;0;0;0;0;2;12.5.2017 10:58;Hüseyin BAÞKAN;4755438
29;Sultangazi-40028;1->5;5.5.2017;18:00-18:15;0;0;0;0;0;0;0;0;12.5.2017 11:02;Hüseyin BAÞKAN;1607472
30;Sultangazi-40028;1->5;5.5.2017;18:15-18:30;2;0;0;0;0;0;0;2;12.5.2017 11:05;Hüseyin BAÞKAN;4822416
31;Sultangazi-40028;1->5;5.5.2017;18:30-18:45;0;0;0;0;0;0;0;0;12.5.2017 11:09;Hüseyin BAÞKAN;4085658
32;Sultangazi-40028;1->5;5.5.2017;18:45-19:00;2;0;0;0;0;0;0;2;12.5.2017 11:13;Hüseyin BAÞKAN;5492196
33;Sultangazi-40028;1->1;5.5.2017;17:00-17:15;13;2;1;0;1;0;0;17;12.5.2017 11:21;Hüseyin BAÞKAN;5894064
34;Sultangazi-40028;1->1;5.5.2017;17:15-17:30;8;2;1;0;1;0;0;12;12.5.2017 11:44;Hüseyin BAÞKAN;3884724
35;Sultangazi-40028;1->1;5.5.2017;17:30-17:45;15;2;1;0;2;0;0;20;12.5.2017 11:51;Hüseyin BAÞKAN;7099668
36;Sultangazi-40028;1->1;5.5.2017;17:45-18:00;7;3;1;0;0;0;0;11;12.5.2017 11:59;Hüseyin BAÞKAN;6228954
37;Sultangazi-40028;1->1;5.5.2017;18:00-18:15;6;2;3;0;4;0;0;15;12.5.2017 12:07;Hüseyin BAÞKAN;1406538
38;Sultangazi-40028;1->1;5.5.2017;18:15-18:30;15;6;3;0;1;0;0;25;12.5.2017 14:40;Hüseyin BAÞKAN;6429888
39;Sultangazi-40028;1->1;5.5.2017;18:30-18:45;8;5;3;0;0;0;0;16;12.5.2017 14:48;Hüseyin BAÞKAN;5425218
40;Sultangazi-40028;1->1;5.5.2017;18:45-19:00;12;1;3;0;2;0;0;18;12.5.2017 14:55;Hüseyin BAÞKAN;803736
41;Sultangazi-40028;2->3;5.5.2017;17:00-17:15;14;6;4;0;3;0;0;27;12.5.2017 15:02;Hüseyin BAÞKAN;3616812
42;Sultangazi-40028;2->3;5.5.2017;17:15-17:30;10;8;3;0;5;2;1;29;12.5.2017 15:07;Hüseyin BAÞKAN;4420548
43;Sultangazi-40028;2->3;5.5.2017;17:30-17:45;19;10;4;0;3;0;0;36;12.5.2017 15:17;Hüseyin BAÞKAN;6094998
44;Sultangazi-40028;2->3;5.5.2017;17:45-18:00;23;10;5;0;2;1;0;41;12.5.2017 15:40;Hüseyin BAÞKAN;3750768
45;Sultangazi-40028;2->3;5.5.2017;18:00-18:15;8;7;5;0;2;0;0;22;12.5.2017 15:45;Hüseyin BAÞKAN;5425218
46;Sultangazi-40028;2->3;5.5.2017;18:15-18:30;37;9;5;0;5;1;0;57;12.5.2017 15:50;Hüseyin BAÞKAN;6228954
47;Sultangazi-40028;2->3;5.5.2017;18:30-18:45;27;10;3;0;6;0;1;47;12.5.2017 15:55;Hüseyin BAÞKAN;6965712
48;Sultangazi-40028;2->3;5.5.2017;18:45-19:00;27;11;1;0;12;1;0;52;12.5.2017 16:00;Hüseyin BAÞKAN;4152636
49;Sultangazi-40028;2->2;5.5.2017;17:00-17:15;4;1;1;0;0;0;0;6;12.5.2017 16:11;Hüseyin BAÞKAN;5425218
50;Sultangazi-40028;2->2;5.5.2017;17:15-17:30;6;0;1;0;1;0;0;8;12.5.2017 16:17;Hüseyin BAÞKAN;6161976
51;Sultangazi-40028;2->2;5.5.2017;17:30-17:45;8;2;0;0;0;0;0;10;12.5.2017 16:24;Hüseyin BAÞKAN;4487526
52;Sultangazi-40028;2->2;5.5.2017;17:45-18:00;6;1;0;0;2;0;0;9;12.5.2017 16:38;Hüseyin BAÞKAN;669,78
53;Sultangazi-40028;2->2;5.5.2017;18:00-18:15;6;1;0;0;0;0;0;7;12.5.2017 16:45;Hüseyin BAÞKAN;569313
54;Sultangazi-40028;2->2;5.5.2017;18:15-18:30;10;1;1;0;0;0;0;12;12.5.2017 16:50;Hüseyin BAÞKAN;703269
55;Sultangazi-40028;2->2;5.5.2017;18:30-18:45;7;1;0;0;1;0;0;9;12.5.2017 16:55;Hüseyin BAÞKAN;8171316
56;Sultangazi-40028;2->2;5.5.2017;18:45-19:00;9;6;0;0;0;0;0;15;12.5.2017 17:00;Hüseyin BAÞKAN;502335
